PassengerId,Survived,Pclass,Sex,Age,Fare,FamilySize,Embarked_C,Embarked_Q,Embarked_S
1,0,1.0,1,0.2711736617240513,0.014151057562208049,0.1,0,0,1
2,1,0.0,0,0.4722292033174164,0.13913573538264068,0.1,1,0,0
3,1,1.0,0,0.32143754712239253,0.015468569817999833,0.0,0,0,1
4,1,0.0,0,0.43453128926866047,0.10364429745562033,0.1,0,0,1
5,0,1.0,1,0.43453128926866047,0.015712553569072387,0.0,0,0,1
6,0,1.0,1,0.3465694898215632,0.01650950209357577,0.0,0,1,0
7,0,0.0,1,0.6732847449107816,0.10122885832000206,0.0,0,0,1
8,0,1.0,1,0.01985423473234481,0.04113566043083236,0.4,0,0,1
9,1,1.0,0,0.33400351847197784,0.021730754366528396,0.2,0,0,1
10,1,0.5,0,0.17064589092736868,0.058694292654020104,0.1,1,0,0
11,1,1.0,0,0.04498617743151546,0.03259622914329302,0.2,0,0,1
12,1,0.0,0,0.7235486303091229,0.051822148727810165,0.0,0,0,1
13,0,1.0,1,0.24604171902488062,0.015712553569072387,0.0,0,0,1
14,0,1.0,1,0.4847951746670017,0.06104473451835265,0.6,0,0,1
15,0,1.0,0,0.17064589092736868,0.015330377421392339,0.0,0,0,1
16,1,0.5,0,0.6858507162603669,0.03122992013728673,0.0,0,0,1
17,0,1.0,1,0.01985423473234481,0.056848213999904744,0.5,0,1,0
18,1,0.5,1,0.3465694898215632,0.025374310111545468,0.0,0,0,1
19,0,1.0,0,0.38426740387031916,0.03513366015444757,0.1,0,0,1
20,1,1.0,0,0.3465694898215632,0.014102260811993537,0.0,1,0,0
21,0,0.5,1,0.43453128926866047,0.050748620223090936,0.0,0,0,1
22,1,0.5,1,0.42196531791907516,0.025374310111545468,0.0,0,0,1
23,1,1.0,0,0.18321186227695402,0.015671954672893913,0.0,0,1,0
24,1,0.0,1,0.3465694898215632,0.06929138530460492,0.0,0,0,1
25,0,1.0,0,0.09525006282985675,0.04113566043083236,0.4,0,0,1
26,1,1.0,0,0.4722292033174164,0.061264319894317944,0.6,0,0,1
27,0,1.0,1,0.3465694898215632,0.014102260811993537,0.0,1,0,0
28,0,0.0,1,0.23347574767529528,0.5133418122566505,0.5,0,0,1
29,1,1.0,0,0.3465694898215632,0.01537917417160685,0.0,0,1,0
30,0,1.0,1,0.3465694898215632,0.015411575213749284,0.0,0,0,1
31,0,0.0,1,0.4973611460165871,0.05410739813385612,0.0,1,0,0
32,1,0.0,0,0.3465694898215632,0.2859895551532101,0.1,1,0,0
33,1,1.0,0,0.3465694898215632,0.015126992566498259,0.0,0,1,0
34,0,0.5,1,0.8240764011058055,0.020494635090094415,0.0,0,0,1
35,0,0.0,1,0.3465694898215632,0.16038672010106,0.1,1,0,0
36,0,0.0,1,0.5224930887157577,0.10149724044618187,0.1,0,0,1
37,1,1.0,1,0.3465694898215632,0.014110458666029575,0.0,1,0,0
38,0,1.0,1,0.2586076903744659,0.015712553569072387,0.0,0,0,1
39,0,1.0,0,0.22090977632570996,0.03513366015444757,0.2,0,0,1
40,1,1.0,0,0.17064589092736868,0.021942337075458514,0.1,1,0,0
41,0,1.0,0,0.4973611460165871,0.018493968331299484,0.1,0,0,1
42,0,0.5,0,0.33400351847197784,0.04098927018018883,0.1,0,0,1
43,0,1.0,1,0.3465694898215632,0.015411575213749284,0.0,1,0,0
44,1,0.5,0,0.032420206081930136,0.08115719346076702,0.3,1,0,0
45,1,1.0,0,0.23347574767529528,0.01537917417160685,0.0,0,1,0
46,0,1.0,1,0.3465694898215632,0.015712553569072387,0.0,0,0,1
47,0,1.0,1,0.3465694898215632,0.030253985132996517,0.1,0,1,0
48,1,1.0,0,0.3465694898215632,0.015126992566498259,0.0,0,1,0
49,0,1.0,1,0.3465694898215632,0.04231498029001666,0.2,1,0,0
50,0,1.0,0,0.22090977632570996,0.034743286152731485,0.1,0,0,1
51,0,1.0,1,0.08268409148027142,0.07746484096553544,0.5,0,0,1
52,0,1.0,1,0.2586076903744659,0.01522458606692728,0.0,0,0,1
53,1,0.0,0,0.610454888162855,0.1497654242623688,0.1,1,0,0
54,1,0.5,0,0.35913546117114853,0.050748620223090936,0.1,0,0,1
55,0,0.0,1,0.8115104297562201,0.1209753416358076,0.1,1,0,0
56,1,0.0,1,0.3465694898215632,0.06929138530460492,0.0,0,0,1
57,1,0.5,0,0.2586076903744659,0.020494635090094415,0.0,0,0,1
58,0,1.0,1,0.35285247549635584,0.014110458666029575,0.0,1,0,0
59,1,0.5,0,0.05755214878110078,0.05416439273810667,0.3,0,0,1
60,0,1.0,1,0.13294797687861273,0.09154270340242172,0.7,0,0,1
61,0,1.0,1,0.2711736617240513,0.014110458666029575,0.0,1,0,0
62,1,0.0,0,0.4722292033174164,0.15614960068643363,0.0,0,0,1
63,0,0.0,1,0.5601910027645137,0.16293234896625058,0.1,0,0,1
64,0,1.0,1,0.04498617743151546,0.05445717323939373,0.5,0,0,1
65,0,0.0,1,0.3465694898215632,0.05410739813385612,0.0,1,0,0
66,1,1.0,1,0.3465694898215632,0.029757819776815374,0.2,1,0,0
67,1,0.5,0,0.35913546117114853,0.020494635090094415,0.0,0,0,1
68,0,1.0,1,0.23347574767529528,0.015923941091001644,0.0,0,0,1
69,1,1.0,0,0.20834380497612465,0.015468569817999833,0.6,0,0,1
70,0,1.0,1,0.32143754712239253,0.016908073949327893,0.2,0,0,1
71,0,0.5,1,0.39683337521990447,0.020494635090094415,0.0,0,0,1
72,0,1.0,0,0.19577783362653933,0.09154270340242172,0.7,0,0,1
73,0,0.5,1,0.2586076903744659,0.1434624456306609,0.0,0,0,1
74,0,1.0,1,0.32143754712239253,0.028212719478023115,0.1,1,0,0
75,1,1.0,1,0.39683337521990447,0.11027245763075773,0.0,0,0,1
76,0,1.0,1,0.3088715757728072,0.014931805565640218,0.0,0,0,1
77,0,1.0,1,0.3465694898215632,0.015411575213749284,0.0,0,0,1
78,0,1.0,1,0.3465694898215632,0.015712553569072387,0.0,0,0,1
79,1,0.5,1,0.005152048253329982,0.056604230248832196,0.2,0,0,1
80,1,1.0,0,0.37170143252073384,0.024349578357040744,0.0,0,0,1
81,0,1.0,1,0.2711736617240513,0.017566830077223785,0.0,0,0,1
82,1,1.0,1,0.35913546117114853,0.018542765081513996,0.0,0,0,1
83,1,1.0,0,0.3465694898215632,0.015200187691820024,0.0,0,1,0
84,0,0.0,1,0.3465694898215632,0.09193307740413781,0.0,0,0,1
85,1,0.5,0,0.20834380497612465,0.020494635090094415,0.0,0,0,1
86,1,1.0,0,0.4093993465694898,0.030937139635999665,0.3,0,0,1
87,0,1.0,1,0.19577783362653933,0.06709553154495196,0.4,0,0,1
88,0,1.0,1,0.3465694898215632,0.015712553569072387,0.0,0,0,1
89,1,0.0,0,0.2837396330736366,0.5133418122566505,0.5,0,0,1
90,0,1.0,1,0.2963056044232219,0.015712553569072387,0.0,0,0,1
91,0,1.0,1,0.35913546117114853,0.015712553569072387,0.0,0,0,1
92,0,1.0,1,0.24604171902488062,0.015330377421392339,0.0,0,0,1
93,0,0.0,1,0.572756974114099,0.11940564777490723,0.1,0,0,1
94,0,1.0,1,0.32143754712239253,0.04015972542654215,0.3,0,0,1
95,0,1.0,1,0.7361146016587082,0.014151057562208049,0.0,0,0,1
96,0,1.0,1,0.3465694898215632,0.015712553569072387,0.0,0,0,1
97,0,0.0,1,0.8869062578537321,0.06764049365134761,0.0,1,0,0
98,1,0.0,1,0.2837396330736366,0.12366716556464086,0.1,1,0,0
99,1,0.5,0,0.42196531791907516,0.04489301019734967,0.1,0,0,1
100,0,0.5,1,0.42196531791907516,0.050748620223090936,0.1,0,0,1
101,0,1.0,0,0.3465694898215632,0.015411575213749284,0.0,0,0,1
102,0,1.0,1,0.3465694898215632,0.015411575213749284,0.0,0,0,1
103,0,0.0,1,0.2586076903744659,0.15085515328815924,0.1,0,0,1
104,0,1.0,1,0.4093993465694898,0.016891873428256675,0.0,0,0,1
105,0,1.0,1,0.4596632319678311,0.015468569817999833,0.2,0,0,1
106,0,1.0,1,0.3465694898215632,0.015411575213749284,0.0,0,0,1
107,1,1.0,0,0.2586076903744659,0.014931805565640218,0.0,0,0,1
108,1,1.0,1,0.3465694898215632,0.015175789316712771,0.0,0,0,1
